Unique ID,Alias Name,Alias strength
AFG0056,SAYED GHIASUDDIN SAYED GHOUSUDDIN,Good quality a.k.a
AFG0057,MOSLIM HAQQANI,Good quality a.k.a
AFG0059,MOHAMMAD WALI,Good quality a.k.a
AFG0061,ASMATULLAH ASEM,Good quality a.k.a
AFG0061,ESMATULLAH ASEM,Good quality a.k.a
AFG0061,SAYED ESMATULLAH ASEM,Good quality a.k.a
AFG0062,ABDULHAQ WASEEQ,Good quality a.k.a
AFG0062,ABDUL HAQ WASIQ,Good quality a.k.a
AFG0062,ABDUL-HAQ WASSEQ,Good quality a.k.a
AFG0063,EHSANULLAH SARFADI,Good quality a.k.a
AFG0063,EHSANULLAH SARFIDA,Good quality a.k.a
AFG0065,AHMED JAN AKHUND,Good quality a.k.a
AFG0065,HAJI AHMED JAN,Good quality a.k.a
AFG0066,SADRUDDIN,Good quality a.k.a
AFG0066,SADUDIN SAYED,Good quality a.k.a
AFG0067,JABBAR,Low quality a.k.a
AFG0067,MAUWIN JABBAR,Low quality a.k.a
AFG0068,NORULLAH NOORI,Good quality a.k.a
AFG0069,ABDULLAH JAN AGHA,Good quality a.k.a
AFG0070,DOOST MOHAMMAD,Good quality a.k.a
AFG0071,KHAIRULLAH KHAIRKHWA,Good quality a.k.a
AFG0071,KHIRULLAH SAID WALI KHAIRKHWA,Good quality a.k.a
AFG0072,HAJI MULLAH SAHIB,Good quality a.k.a
AFG0072,ZAKIR,Low quality a.k.a
AFG0074,GUD MULLAH MOHAMMAD HASSAN,
AFG0075,BARYALAI,Low quality a.k.a
AFG0075,BARYALY,Low quality a.k.a
AFG0075,ABDUL MANAN NAYAZI,Good quality a.k.a
AFG0075,ABDUL MANAN NIAZI,Good quality a.k.a
AFG0078,NAZAR MOHAMMAD,Good quality a.k.a
AFG0079,MOHAMMAD ISHAQ AKHUND,Good quality a.k.a
AFG0080,ZIAURRAHMAN MADANI,Good quality a.k.a
AFG0080,DIYA' AL-RAHMAN MADANI,Good quality a.k.a
AFG0080,ZAIA U RAHMAN MADANI,Good quality a.k.a
AFG0080,MADANI SAHEB,Good quality a.k.a
AFG0081,PAHLAWAN SHAMSUDDIN,Good quality a.k.a
AFG0082,GURG,Good quality a.k.a
AFG0084,MOHAMMAD SHAFIQ AHMADI,Good quality a.k.a
AFG0084,SHAFIQULLAH,Good quality a.k.a
AFG0085,AMINULLAH AMIN,Good quality a.k.a
AFG0085,MUHAMMAD YUSUF,Good quality a.k.a
AFG0087,AHMAD JAN AKHUNZADA,Good quality a.k.a
AFG0087,AHMAD JAN AKHUND ZADA,Good quality a.k.a
AFG0088,NOOR MOHAMMED SAQEB,Good quality a.k.a
AFG0089,SANANI,Good quality a.k.a
AFG0092,HAMIDULLAH AKHUND,Good quality a.k.a
AFG0092,JANAT GUL,Good quality a.k.a
AFG0092,SAEED HAMIDULLAH,Good quality a.k.a
AFG0094,AZIZURAHMAN ABDUL AHAD,Good quality a.k.a
AFG0096,MOHAMMAD SARWAR SIDDIQMAL,Good quality a.k.a
AFG0098,ABDUL QADIR BASIR,Good quality a.k.a
AFG0098,AHMAD HAJI,Good quality a.k.a
AFG0098,ABDUL QADIR HAQQANI,Good quality a.k.a
AFG0098,ABDUL QADIR,Good quality a.k.a
AFG0099,NAZIRULLAH AANAFI WALIULLAH,Good quality a.k.a
AFG0100,ABDUL GHAFFAR QURESHI,Good quality a.k.a
AFG0101,NAJIB ULLAH,Low quality a.k.a
AFG0103,AKHTAR MOHAMMAD MAZ-HARI,Good quality a.k.a
AFG0105,KAKAZADA,Good quality a.k.a
AFG0105,NASIR,Low quality a.k.a
AFG0105,REHMATULLAH,Good quality a.k.a
AFG0109,AL-HAMMAD,Good quality a.k.a
AFG0110,ABDUL HAI HAZEM,Good quality a.k.a
AFG0112,ABDUL SATAR ABDULLAH,Good quality a.k.a
AFG0112,SARAJ HAQANI,Good quality a.k.a
AFG0112,SERAJUDDIN HAQANI,Good quality a.k.a
AFG0112,SIRAJ HAQANI,Good quality a.k.a
AFG0112,SIRAJ HAQQANI,Good quality a.k.a
AFG0112,KHALIFA,Low quality a.k.a
AFG0113,AMIR ABDULLAH SAHIB,Low quality a.k.a
AFG0114,ALIM GHAIR,Good quality a.k.a
AFG0114,MASEER HAQQANI,Good quality a.k.a
AFG0114,NASHIR HAQQANI,Good quality a.k.a
AFG0114,NASSIR HAQQANI,Good quality a.k.a
AFG0114,NASERUDDIN,Low quality a.k.a
AFG0115,GUL AGHA,Good quality a.k.a
AFG0115,GUL AGHA AKHUND,Good quality a.k.a
AFG0115,HEDAYATULLAH BADRI,Good quality a.k.a
AFG0115,HIDAYATULLAH BADRI,Good quality a.k.a
AFG0115,HAYADATULLAH,Low quality a.k.a
AFG0115,HEDAYATULLAH HEDAYAT,Good quality a.k.a
AFG0115,HIDAYATULLAH,Low quality a.k.a
AFG0116,LOI AGHA,Good quality a.k.a
AFG0116,AGHA JAN ALAZAI,Good quality a.k.a
AFG0116,AGHA JAN ALIZAI,Good quality a.k.a
AFG0116,ABDUL HABIB,Good quality a.k.a
AFG0116,AGHA JAN,Good quality a.k.a
AFG0116,LOI LALA,Good quality a.k.a
AFG0117,SALEH MOHAMMAD,Good quality a.k.a
AFG0118,KHALEEL HAQQANI,Good quality a.k.a
AFG0118,KHALIL AL-RAHMAN HAQQANI,Good quality a.k.a
AFG0118,KHALIL UR RAHMAN HAQQANI,Good quality a.k.a
AFG0119,MULLAH FAIZULLAH,
AFG0119,FIAZULLAH,
AFG0119,FAIZULLAH KHAN,
AFG0119,FAIZULLAH NOORZAI AKHTAR MOHAMMED MIRA KHAN,
AFG0119,FAIZULLAH NOOR,
AFG0119,FAIZULLAH NOORI,
AFG0119,FAIZULLAH KHAN NOORZAI,
AFG0119,PAZULLAH NOORZAI,
AFG0119,FAIZUULAH KHAN NOREZAI,
AFG0120,AMINULLAH,Low quality a.k.a
AFG0120,MALUK,Low quality a.k.a
AFG0120,ALLAH MUHAMMAD,Good quality a.k.a
AFG0120,MALAK NOORZAI,Good quality a.k.a
AFG0120,MALEK NOORZAI,Good quality a.k.a
AFG0120,MALIK NOORZAI,Good quality a.k.a
AFG0121,ABDUL AZIZ MAHSUD,Good quality a.k.a
AFG0122,NOOR AHMED AGHA,Good quality a.k.a
AFG0122,ZIA AGHA,Good quality a.k.a
AFG0122,NOOR AHMAD,Good quality a.k.a
AFG0122,NOOR AHMED,Good quality a.k.a
AFG0122,AGHA SIA SAYEED,Low quality a.k.a
AFG0123,FAISAL RABBI,Good quality a.k.a
AFG0123,FAZL RABBI,Good quality a.k.a
AFG0123,FAZAL RABI,Good quality a.k.a
AFG0124,MOHAMMED AMAN,Good quality a.k.a
AFG0124,MAD AMAN USTAD NOORZAI,Low quality a.k.a
AFG0124,MOHAMMAD AMAN USTAD NOORZAI,Good quality a.k.a
AFG0124,MOHAMMED OMAN,Good quality a.k.a
AFG0124,SANAULLAH,Low quality a.k.a
AFG0125,AHMED JAN KUCHI,Good quality a.k.a
AFG0125,AHMED JAN ZADRAN,Good quality a.k.a
AFG0126,ABDUL SAMAN,Good quality a.k.a
AFG0127,BAKHT GUL BAHAR,Good quality a.k.a
AFG0127,BAKHTA GUL,Good quality a.k.a
AFG0127,SHUQIB,Good quality a.k.a
AFG0128,ABDULASATTAR,Good quality a.k.a
AFG0128,ABDUL SATTAR BARAKZAI,Good quality a.k.a
AFG0128,SATAR BARAKZAI,Good quality a.k.a
AFG0128,ABDUL SATAR,Good quality a.k.a
AFG0129,KARIMULLAH,Good quality a.k.a
AFG0129,KHAIRULLAH,Good quality a.k.a
AFG0129,KHEIRULLAH,Good quality a.k.a
AFG0129,KHAIR MOHAMMAD,Good quality a.k.a
AFG0129,KHAIR ULLAH,Good quality a.k.a
AFG0130,ZAKIR,Good quality a.k.a
AFG0131,MUHAMMAD QASIM,Good quality a.k.a
AFG0131,ABDUL SALAM,Good quality a.k.a
AFG0132,MULLAH AHMAD SHAH,Good quality a.k.a
AFG0132,AHMED SHAH,Good quality a.k.a
AFG0132,AHMED SHAH NOORZAI,Good quality a.k.a
AFG0132,AHMAD SHAH,Good quality a.k.a
AFG0132,MOHAMMED SHAH,Good quality a.k.a
AFG0133,ADAM,Good quality a.k.a
AFG0133,ADAM KHAN,Good quality a.k.a
AFG0134,QARI SAIFULLAH AL TOKHI,Good quality a.k.a
AFG0134,QARI SAHAB,Low quality a.k.a
AFG0134,QARI SAIFULLAH,Good quality a.k.a
AFG0134,SAIFULLAH TOKHI,Good quality a.k.a
AFG0135,QARI SAHAB,Low quality a.k.a
AFG0135,YAYA,Good quality a.k.a
AFG0136,ABID KHAN,Good quality a.k.a
AFG0137,MOHAMMAD-OMAR JADRAN,Good quality a.k.a
AFG0138,KARI RAHMAT,Good quality a.k.a
AFG0138,QARI RAHMAT,Good quality a.k.a
AFG0139,'ABD AL-BASIR,Good quality a.k.a
AFG0139,ABDUL BASEER,Good quality a.k.a
AFG0139,ABDUL BASIR,Good quality a.k.a
AFG0139,BASIR NOORZAI,Good quality a.k.a
AFG0140,TORAK AGHA,Low quality a.k.a
AFG0140,TORIQ AGHA,Low quality a.k.a
AFG0140,SAYED MOHAMMED HASHAN,Good quality a.k.a
AFG0140,TORIQ AGHA SAYED,Low quality a.k.a
AQD0001,ABD AL-RAHMAN BIN UMAYR AL-NU'AYMI,
AQD0001,ABDELRAHMAN IMER AL JABER AL NAIMEH,Good quality a.k.a
AQD0001,ABDULRAHMAN OMAIR AL NEAIMI,Good quality a.k.a
AQD0001,A. RAHMAN OMAIR J ALNAIMI,Good quality a.k.a
AQD0001,A. RAHMAN AL-NAIMI,Good quality a.k.a
AQD0001,ABD AL-RAHMAN BIN 'AMIR AL-NA'IMI,Good quality a.k.a
AQD0001,'ABD AL-RAHMAN AL-NU'AIMI,Good quality a.k.a
AQD0001,'ABD AL-RAHMAN BIN 'AMIR AL-NU'AYMI,Good quality a.k.a
AQD0001,'ABDALLAH MUHAMMAD AL-NU'AYMI,Good quality a.k.a
AQD0001,'ABD AL-RAHMAN AL-NUA'YMI,Good quality a.k.a
AQD0001,'ABD AL-RAHMAN BIN 'AMIR AL-NU'IMI,Good quality a.k.a
AQD0002,ABDALLAH AZZAM BRIGADES (AAB),
AQD0002,AAB,
AQD0002,ABDULLAH AZZAM BRIGADES,
AQD0002,YUSUF AL-'UYAYRI BATTALIONS OF THE ABDALLAH AZZAM BRIGADES,
AQD0002,ZIYAD AL-JARRAH BATTALIONS OF THE ABDALLAH AZZAM BRIGADES,
AQD0003,ABU SAYYAF GROUP,
AQD0003,AL HARAKAT AL ISLAMIYYA,
AQD0004,AFGHAN SUPPORT COMMITTEE (ASC),
AQD0004,AHYA UL TURAS,
AQD0004,JAMIAT AYAT-UR-RHAS AL ISLAMIAC,
AQD0004,JAMIAT IHYA UL TURATH AL ISLAMIA,
AQD0004,LAJNAT UL MASA EIDATUL AFGHANIA,
AQD0005,AL FURQAN,
AQD0005,ASSOCIATION FOR CITIZENS RIGHTS AND RESISTANCE TO LIES,
AQD0005,ASSOCIATION FOR EDUCATION CULTURAL AND TO CREATE SOCIETY -SIRAT,
AQD0005,ASSOCIATION FOR EDUCATION CULTURE AND BUILDING SOCIETY-SIRAT,
AQD0005,ASSOCIATION OF CITIZENS FOR THE SUPPORT OF TRUTH AND SUPRESSION OF LIES,
AQD0005,CITIZENS' ASSOCIATION FOR SUPPORT AND PREVENTION OF LIES - FURQAN,
AQD0005,DZEMIJETUL FURKAN,
AQD0005,DZEM'IJJETUL FURQAN,
AQD0005,DZEMILIJATI FURKAN,
AQD0005,IN SIRATEL,
AQD0005,ISTIKAMET,
AQD0005,SIRAT,
AQD0006,AL MOUAKAOUNE BIDDAM,
AQD0006,CEUX QUI SIGNENT AVEC LE SANG,
AQD0006,LES SIGNATAIRES PAR LE SANG,
AQD0006,THOSE WHO SIGN IN BLOOD,
AQD0007,AL MOULATHAMOUN,
AQD0007,LES ENTURBANNES,
AQD0007,THE VEILED,
AQD0008,AL MOURABITOUN,
AQD0008,LES SENTINELLES,
AQD0008,THE SENTINELS,
AQD0009,AL RASHID TRUST,
AQD0009,"AID ORGANIZATION OF THE ULEMA, PAKISTAN",
AQD0009,AL AMEEN TRUST,
